Designator,Mid X,Mid Y,Rotation,Layer
C1,202.77,-116.51,90.0,bottom
C10,246.822501,-108.33,0.0,bottom
C11,193.571283,-85.808717,45.0,top
C12,196.46,-92.9575,270.0,top
C13,190.298717,-95.341283,225.0,top
C14,188.728717,-87.578717,135.0,top
C15,191.201283,-92.291283,315.0,top
C16,191.57,-89.611283,315.0,top
C17,191.2,-90.79,315.0,top
C18,195.768717,-89.791283,225.0,top
C19,196.041283,-95.29,315.0,top
C2,191.44,-94.29,315.0,top
C20,191.51,-87.09,315.0,top
C21,183.06,-94.72,270.0,top
C22,184.18,-87.9,90.0,bottom
C23,184.31,-84.94,180.0,bottom
C24,218.9625,-106.58,180.0,bottom
C25,176.27,-119.78,180.0,bottom
C26,171.8725,-119.78,180.0,bottom
C27,251.08,-74.22,0.0,top
C28,251.26,-72.37,0.0,top
C29,196.9375,-113.797501,90.0,top
C3,234.37,-103.37,0.0,top
C30,202.09,-99.9375,270.0,top
C31,216.8325,-105.38,180.0,top
C32,209.87,-82.5975,270.0,top
C33,203.01,-99.9375,270.0,top
C34,216.8325,-104.46,180.0,top
C35,248.38,-73.257499,90.0,top
C36,204.157499,-70.8975,0.0,top
C37,193.755255,-61.415,0.0,top
C38,203.38,-64.23,90.0,top
C39,206.9625,-81.4,0.0,top
C4,233.41,-108.33,0.0,bottom
C40,244.93,-63.86,270.0,top
C41,250.1325,-70.55,0.0,top
C42,187.148717,-90.791283,225.0,top
C43,187.062582,-88.517328,135.0,top
C44,218.687246,-72.3,0.0,top
C45,216.55,-87.69,180.0,bottom
C46,216.55,-88.61,180.0,bottom
C47,207.86,-83.98,0.0,bottom
C48,207.86,-84.9,0.0,bottom
C49,213.96,-87.6,180.0,bottom
C5,192.571283,-85.508717,45.0,top
C50,204.0525,-87.33,180.0,top
C51,202.7575,-101.61,180.0,top
C52,218.52,-104.0075,270.0,top
C53,220.11,-86.6975,90.0,top
C54,204.0525,-86.26,180.0,top
C55,210.035,-83.98,180.0,bottom
C56,210.0375,-84.9,180.0,bottom
C57,215.59,-84.095,270.0,top
C58,213.71,-84.095,270.0,top
C59,179.0825,-110.48,180.0,top
C6,213.32,-61.5925,90.0,top
C60,186.8875,-112.41,0.0,top
C61,245.157499,-74.18,180.0,top
C62,184.1825,-106.69,0.0,bottom
C63,181.7375,-110.1,180.0,bottom
C64,185.060849,-115.098666,315.0,top
C65,181.703415,-114.668666,225.0,top
C66,162.5225,-119.78,180.0,bottom
C67,165.6325,-119.78,180.0,bottom
C68,168.7525,-119.78,180.0,bottom
C69,180.592775,-117.779033,225.0,top
C7,175.69,-81.04,180.0,top
C70,177.76,-80.177499,90.0,top
C71,182.557501,-75.644999,0.0,top
C72,214.57,-93.39,180.0,bottom
C73,241.48,-81.3075,270.0,bottom
C8,247.8025,-103.37,0.0,top
C9,187.288717,-91.951283,225.0,top
D1,164.9,-61.5,0.0,top
D10,237.92,-74.56,180.0,top
D13,171.95,-61.7,0.0,bottom
D14,223.38,-105.65,270.0,top
D15,226.3,-105.65,270.0,top
D18,243.545,-97.45,180.0,top
D19,243.545,-99.05,180.0,top
D2,200.0375,-61.64,0.0,top
D21,176.76,-122.504999,270.0,top
D22,178.36,-122.504999,270.0,top
D23,251.28,-109.8475,270.0,top
D24,251.28,-106.415,270.0,top
