Designator,Mid X,Mid Y,Rotation,Layer
R7,163.19,-93.8675,270.0,top
R8,143.95,-90.22,90.0,bottom
R9,144.21,-99.1075,270.0,bottom
SW1,198.26,-71.3,180.0,top
SW10,230.72,-77.04,90.0,top
SW2,173.05,-106.48,90.0,top
SW3,145.43,-126.78,0.0,top
SW4,142.43,-126.78,0.0,top
SW5,148.43,-126.78,0.0,top
SW6,151.43,-126.78,0.0,top
SW7,154.43,-126.78,0.0,top
SW8,169.35,-106.48,90.0,top
SW9,219.72,-77.04,270.0,top
U1,196.565,-98.59,180.0,top
U10,221.88,-86.64,180.0,top
U11,213.18,-113.75,180.0,top
U12,189.42,-75.46,90.0,top
U13,183.32,-121.679999,270.0,bottom
U14,187.82,-121.679998,270.0,bottom
U15,223.84,-95.7975,90.0,bottom
U16,201.09,-94.2825,270.0,bottom
U17,192.95,-88.0,270.0,top
U2,173.4425,-95.57,90.0,bottom
U3,219.44,-100.8475,270.0,top
U4,208.19,-126.975,270.0,bottom
U5,159.9825,-80.87,0.0,top
U6,159.9825,-80.87,0.0,bottom
U7,170.065,-115.5175,270.0,top
U8,194.0175,-122.82,270.0,top
U9,159.865336,-124.448839,315.0,top
Y1,198.81,-88.5675,0.0,top
Y2,167.472183,-93.128579,135.0,top
Y3,169.642132,-123.319949,135.0,top
